,ACC,Balanced_ACC,Precision,Recall,AUROC,AUPRC,MCC
simulated_seed3_freq050_size200_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed3_freq050_size200_noise80_dataset,0.95,0.95,0.9090909090909091,1.0,0.995,0.9951190476190479,0.9045340337332909
simulated_seed5_freq010_size150_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq010_size150_noise25_dataset,0.9666666666666667,0.9666666666666667,0.9375,1.0,1.0,1.0,0.9354143466934853
simulated_seed5_freq010_size150_noise50_dataset,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9022222222222223,0.9341310541310541,0.7333333333333333
simulated_seed5_freq010_size150_noise60_dataset,0.8666666666666667,0.8666666666666667,0.9230769230769231,0.8,0.9511111111111111,0.9657936507936506,0.7399400733959437
simulated_seed5_freq010_size150_noise70_dataset,0.8333333333333334,0.8333333333333333,0.9166666666666666,0.7333333333333333,0.9644444444444444,0.9660748023905918,0.6804138174397717
simulated_seed5_freq010_size150_noise80_dataset,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.5333333333333333,0.7022222222222223,0.7294138870905595,0.2721655269759087
simulated_seed5_freq025_size150_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq025_size150_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq025_size150_noise50_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq025_size150_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq025_size150_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq025_size150_noise80_dataset,0.8666666666666667,0.8666666666666667,0.7894736842105263,1.0,0.9866666666666667,0.9838235294117647,0.760885910252682
simulated_seed5_freq050_size150_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq050_size150_noise25_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq050_size150_noise50_dataset,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
simulated_seed5_freq050_size150_noise60_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq050_size150_noise70_dataset,0.9666666666666667,0.9666666666666667,1.0,0.9333333333333333,0.9955555555555556,0.9958333333333333,0.9354143466934853
simulated_seed5_freq050_size150_noise80_dataset,0.9,0.9,0.875,0.9333333333333333,0.9733333333333333,0.9754901960784312,0.8017837257372731
simulated_seed5_freq010_size50_noise5_dataset,0.8,0.8,0.8,0.8,0.92,0.9266666666666665,0.6
simulated_seed5_freq010_size50_noise25_dataset,0.9,0.9,1.0,0.8,0.9600000000000001,0.9666666666666666,0.816496580927726
simulated_seed5_freq010_size50_noise50_dataset,0.5,0.5,0.5,0.8,0.36,0.48571428571428565,0.0
simulated_seed5_freq010_size50_noise60_dataset,0.5,0.5,0.5,0.4,0.6000000000000001,0.7342857142857142,0.0
simulated_seed5_freq010_size50_noise70_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq010_size50_noise80_dataset,0.5,0.5,0.5,0.4,0.4,0.49682539682539684,0.0
simulated_seed5_freq025_size50_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
simulated_seed5_freq025_size50_noise25_dataset,0.9,0.9,1.0,0.8,1.0,1.0,0.816496580927726
simulated_seed5_freq025_size50_noise50_dataset,0.8,0.8,1.0,0.6,0.8400000000000001,0.885,0.6546536707079772
simulated_seed5_freq025_size50_noise60_dataset,0.2,0.2,0.2857142857142857,0.4,0.039999999999999994,0.36103174603174604,-0.6546536707079772
simulated_seed5_freq025_size50_noise70_dataset,0.2,0.2,0.0,0.0,0.0,0.3543650793650793,-0.6546536707079772
simulated_seed5_freq025_size50_noise80_dataset,0.1,0.1,0.0,0.0,0.0,0.3543650793650793,-0.816496580927726
simulated_seed5_freq050_size50_noise5_dataset,1.0,1.0,1.0,1.0,1.0,1.0,1.0
