dataset_name,fold,fit_time,score_time,accuracy,balanced_accuracy,precision,recall,roc_auc,average_precision,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,seed,freq,size,noise
simulated_seed5_freq050_size50_noise70_dataset,0,264.5563714504242,0.1835010051727295,0.75,0.75,0.6666666666666666,1.0,0.875,0.9166666666666666,500,10,5,0.8,10.0,5,50,50,70
simulated_seed5_freq050_size50_noise70_dataset,1,266.13526821136475,0.16627001762390137,0.625,0.625,0.6666666666666666,0.5,0.6875,0.7470238095238095,200,10,5,,,5,50,50,70
simulated_seed5_freq050_size50_noise70_dataset,2,270.00291180610657,0.16086483001708984,0.5,0.5,0.5,0.5,0.625,0.6916666666666667,500,10,5,0.8,10.0,5,50,50,70
simulated_seed5_freq050_size50_noise70_dataset,3,270.6335470676422,0.07582592964172363,0.5,0.5,0.5,0.5,0.4375,0.6488095238095237,500,2,1,,10.0,5,50,50,70
simulated_seed5_freq050_size50_noise70_dataset,4,270.3240079879761,0.05506491661071777,0.375,0.375,0.4,0.5,0.25,0.4333333333333333,200,2,10,,,5,50,50,70
simulated_seed5_freq050_size50_noise80_dataset,0,270.92333245277405,0.07198023796081543,0.5,0.5,0.5,0.25,0.375,0.6071428571428572,200,10,5,,,5,50,50,80
simulated_seed5_freq050_size50_noise80_dataset,1,271.45551204681396,0.07424449920654297,0.625,0.625,0.6,0.75,0.6875,0.7333333333333333,500,5,10,,20.0,5,50,50,80
simulated_seed5_freq050_size50_noise80_dataset,2,268.1136636734009,0.1485755443572998,0.625,0.625,0.6,0.75,0.75,0.8166666666666667,100,10,5,,,5,50,50,80
simulated_seed5_freq050_size50_noise80_dataset,3,271.2787404060364,0.09113168716430664,0.625,0.625,0.6,0.75,0.75,0.8303571428571428,500,5,10,,20.0,5,50,50,80
simulated_seed5_freq050_size50_noise80_dataset,4,265.7117221355438,0.3513679504394531,0.5,0.5,0.5,0.5,0.75,0.8166666666666667,500,5,10,,20.0,5,50,50,80
